*******************************************************************************
 Revised: Aug 13, 2009   Ulysses Spacecraft (interplanetary) / (Sun)        -55
                             http://ulysses.jpl.nasa.gov/ 
            http://ulysses-ops.jpl.esa.int/ulsfct/rgpCafe/solsys/solsys.html

 MISSION ENDED: June 30, 2009. Last tracking data: 2009-Jun-29.
  The Ulysses Radioisotope Thermoelectric Generators (RTGs) have been steadily 
  losing power over the years and can no longer run all the communications, 
  scientific equipment, and heating simultaneously. Soon the spacecraft will 
  become so cold that its hydrazine fuel lines will freeze and it will become 
  impossible to maneuver. 

  A five year mission was planned, but for more than 17 years, the spacecraft 
  has studied the Sun, magnetic fields, the solar wind, x-rays and particles 
  from solar flares, and more. 
 
 BACKGROUND
   Launched : Oct 6, 1990                   Jupiter gravity assist: Feb 8, 1992
   Deployed from shuttle Discovery (STS-41) 160 nm above Earth

   Objective: Study the Sun from high solar latitudes.
   Ulysses is a joint mission between NASA and the European Space Agency (ESA).

   To reach high solar latitudes, the spacecraft was directed past Jupiter to 
   obtain a gravity-assist, accelerating Ulysses out of the ecliptic plane.

   With an orbital period of 6 years, observations have/will be obtained at 
   both the minimum and maximum of the 11 year solar cycle.

   See the web-page above for extensive information on the Ulysses Mission.

 SPACECRAFT TRAJECTORY:
  ... concatenated of trajectories provided Navigation Team (Mark Ryne/JPL). 

  File name              Span
  ---------------------  --------------------------------------------------
  pfile_ulysses_history  1990-Oct-6 (injection) to 2050-Jan-1. 
                         Trajectory after 2009-Jun-29 is predicted.
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue May  2 20:49:41 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Earth (399)                     {source: ulysses}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Oct-06 19:05:00.0000 TDB
Stop  time      : A.D. 2008-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230501.p230725
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-01. PREDICTS-> 2023-JUL-24
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448171.295138889, A.D. 1990-Oct-06 19:05:00.0000,  5.870221323515840E+03,  5.587303570125521E+03, -7.052618334426954E+02,
2448172.295138889, A.D. 1990-Oct-07 19:05:00.0000, -3.951777972726531E+05,  9.048738861050250E+05,  1.236909377306546E+05,
2448173.295138889, A.D. 1990-Oct-08 19:05:00.0000, -7.929512629589621E+05,  1.791764734203392E+06,  2.467294042527633E+05,
2448174.295138889, A.D. 1990-Oct-09 19:05:00.0000, -1.190438039007157E+06,  2.676988239693433E+06,  3.695646467338369E+05,
2448175.295138889, A.D. 1990-Oct-10 19:05:00.0000, -1.587732530555413E+06,  3.560721061351420E+06,  4.922294986484342E+05,
2448176.295138889, A.D. 1990-Oct-11 19:05:00.0000, -1.984753240574956E+06,  4.442840855526009E+06,  6.147129122568134E+05,
2448177.295138889, A.D. 1990-Oct-12 19:05:00.0000, -2.381354678030952E+06,  5.323167726559253E+06,  7.369927240466489E+05,
2448178.295138889, A.D. 1990-Oct-13 19:05:00.0000, -2.777353875139302E+06,  6.201515303253050E+06,  8.590425041190386E+05,
2448179.295138889, A.D. 1990-Oct-14 19:05:00.0000, -3.172942702499124E+06,  7.077945431489560E+06,  9.808308378767367E+05,
2448180.295138889, A.D. 1990-Oct-15 19:05:00.0000, -3.567229415805006E+06,  7.951853060206486E+06,  1.102321277329991E+06,
2448181.295138889, A.D. 1990-Oct-16 19:05:00.0000, -3.961194450849481E+06,  8.822862481810892E+06,  1.223474374230817E+06,
2448182.295138889, A.D. 1990-Oct-17 19:05:00.0000, -4.358132702718250E+06,  9.689253890310269E+06,  1.344190069435158E+06,
2448183.295138889, A.D. 1990-Oct-18 19:05:00.0000, -4.753611528228313E+06,  1.055282287983462E+07,  1.464520633756279E+06,
2448184.295138889, A.D. 1990-Oct-19 19:05:00.0000, -5.149184778510178E+06,  1.141402871045376E+07,  1.584641553408737E+06,
2448185.295138889, A.D. 1990-Oct-20 19:05:00.0000, -5.540701989762689E+06,  1.227350703670443E+07,  1.704342688231301E+06,
2448186.295138889, A.D. 1990-Oct-21 19:05:00.0000, -5.929424398327826E+06,  1.313009223965165E+07,  1.823562617866267E+06,
2448187.295138889, A.D. 1990-Oct-22 19:05:00.0000, -6.315007914387127E+06,  1.398376093504256E+07,  1.942268670622586E+06,
2448188.295138889, A.D. 1990-Oct-23 19:05:00.0000, -6.697095462961392E+06,  1.483451285230464E+07,  2.060428496543961E+06,
2448189.295138889, A.D. 1990-Oct-24 19:05:00.0000, -7.075316599290199E+06,  1.568236763204272E+07,  2.178009656207191E+06,
